epoch,phase,loss,accuracy
1,train,0.8336917844898852,0.7106801573917931
1,test,0.785934636994309,0.7301848049281314
2,train,0.8033871217950668,0.7147554806070826
2,test,0.7514635000446739,0.7390143737166325
3,train,0.7739203147033147,0.728920741989882
3,test,0.7030640387375986,0.75564681724846
4,train,0.7570613339752746,0.7351039910061833
4,test,0.7132281711214132,0.7484599589322382
5,train,0.7386093786487826,0.7362001124227094
5,test,0.6939752055389435,0.7616016427104723
6,train,0.7254170259375998,0.7435356942102305
6,test,0.6915882496006435,0.762422997946612
7,train,0.714714860413569,0.7478077571669477
7,test,0.691640330376811,0.7603696098562628
8,train,0.6933489529385601,0.7562675660483418
8,test,0.6759343142382174,0.7648870636550308
9,train,0.6866160635334377,0.7587127599775154
9,test,0.6425679224350125,0.771047227926078
10,train,0.6681150881409176,0.7654862282181001
10,test,0.6862068110606508,0.7685831622176591
11,train,0.6510943374250496,0.7713603147835862
11,test,0.6312411969171902,0.7796714579055442
12,train,0.6348347218268503,0.7783305227655987
12,test,0.6449211778581999,0.7747433264887064
13,train,0.6255001321476855,0.7786958965711074
13,test,0.6485344276719515,0.7698151950718686
14,train,0.619601473592519,0.7821247892074199
14,test,0.6278671399676824,0.7813141683778234
15,train,0.6008088667383349,0.7870151770657673
15,test,0.612158561508636,0.7882956878850103
16,train,0.590109673258024,0.7917650365373805
16,test,0.6318331480515811,0.7815195071868583
17,train,0.578366044178781,0.7957841483979764
17,test,0.6521896802975167,0.7761806981519507
18,train,0.5770380558962229,0.7957279370432827
18,test,0.6180059034170801,0.7895277207392197
19,train,0.558296301118305,0.8008993816750983
19,test,0.6777082307076797,0.7700205338809035
20,train,0.5450324930053805,0.8068296795952783
20,test,0.6145441047051726,0.7815195071868583
21,train,0.5439286458016515,0.8080101180438448
21,test,0.6003231425932178,0.7915811088295688
22,train,0.5268378489067074,0.8127318718381114
22,test,0.6318168736336413,0.7858316221765914
23,train,0.5151402024454853,0.817734682405846
23,test,0.6463605786449977,0.7854209445585215
24,train,0.5015183151270849,0.8222878021360315
24,test,0.6509448158774654,0.7915811088295688
25,train,0.4938723464036269,0.8254918493535695
25,test,0.599920410297245,0.7967145790554415
26,train,0.4800356150075517,0.8317313097245643
26,test,0.6009919338356665,0.7981519507186858
27,train,0.47577612857392426,0.831478358628443
27,test,0.6408092430117683,0.7919917864476386
28,train,0.466754802590746,0.8351320966835301
28,test,0.6096105102625593,0.7985626283367556
29,train,0.4498245920137853,0.8400224845418774
29,test,0.6108291484798004,0.7969199178644764
30,train,0.44718165494472273,0.8424395727937043
30,test,0.6120806894966954,0.8020533880903491
31,train,0.4338443542612343,0.8485947161326588
31,test,0.5929083740686734,0.8026694045174538
32,train,0.41818173439265505,0.8516863406408095
32,test,0.5985927863318083,0.8047227926078029
